Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
1723;Wahlkreis Rheintal;SG;1; 13,4 ; 19,2 ; 8,9 ; 43,0 ; 1,2 ;; 5,1 ; 2,6 ;; 3,9 ;; 0,2 ; 0,8 ;;; 1,6 ;45,9  
1724;Wahlkreis Werdenberg;SG;1; 16,3 ; 11,0 ; 14,7 ; 37,1 ; 4,3 ;; 4,7 ; 4,4 ;; 4,1 ;; 0,3 ; 1,3 ;;; 1,7 ;46,4  
1725;Wahlkreis Sarganserland;SG;1; 13,4 ; 18,2 ; 12,1 ; 39,6 ; 0,9 ;; 5,9 ; 4,2 ;; 3,1 ;; 0,3 ; 0,5 ;;; 1,8 ;47,6  
1726;Wahlkreis See-Gaster;SG;1; 13,3 ; 16,7 ; 12,0 ; 36,9 ; 1,1 ;; 5,2 ; 4,1 ;; 7,4 ;; 0,2 ; 1,2 ;;; 1,9 ;44,6  
1727;Wahlkreis Toggenburg;SG;1; 13,9 ; 17,8 ; 9,9 ; 41,0 ; 1,9 ;; 3,2 ; 3,2 ;; 5,0 ;; 0,3 ; 1,8 ;;; 1,9 ;51,1  
1728;Wahlkreis Wil;SG;1; 15,0 ; 16,1 ; 12,5 ; 36,5 ; 2,0 ;; 4,0 ; 4,1 ;; 6,6 ;; 0,3 ; 0,9 ;;; 2,0 ;48,3  
9170;SG-Ausland-CH;SG;1; 13,6 ; 11,8 ; 17,8 ; 30,8 ; 2,1 ;; 6,2 ; 3,1 ;; 11,2 ;; 0,5 ; 0,9 ;;; 2,0 ;27,9  
1821;Bezirk Albula;GR;1; 14,8 ; 25,2 ; 12,8 ; 25,3 ;;; 8,1 ; 13,7 ;;;;;;;; 0,2 ;42,1  
1822;Distretto di Bernina;GR;1; 6,9 ; 27,6 ; 16,5 ; 41,1 ;;; 3,1 ; 4,7 ;;;;;;;; 0,1 ;44,7  
1823;Bezirk Hinterrhein;GR;1; 14,0 ; 10,1 ; 19,0 ; 27,4 ;;; 7,6 ; 21,7 ;;;;;;;; 0,2 ;48,9  
1824;Bezirk Imboden;GR;1; 13,3 ; 16,4 ; 19,9 ; 29,4 ;;; 8,2 ; 12,8 ;;;;;;;; 0,1 ;48,1  
1825;Bezirk Inn;GR;1; 10,8 ; 10,1 ; 19,8 ; 29,7 ;;; 6,8 ; 22,7 ;;;;;;;; 0,1 ;42,1  
1826;Bezirk Landquart;GR;1; 11,6 ; 10,4 ; 18,2 ; 34,3 ;;; 10,0 ; 15,4 ;;;;;;;; 0,1 ;45,7  
1827;Bezirk Maloja / Distretto di Maloggia;GR;1; 25,1 ; 7,7 ; 14,3 ; 27,6 ;;; 6,8 ; 18,4 ;;;;;;;; 0,1 ;47,2  
1828;Distretto di Moesa;GR;1; 11,5 ; 17,7 ; 23,5 ; 39,0 ;;; 2,1 ; 6,2 ;;;;;;;; 0,0 ;35,7  
1829;Bezirk Plessur;GR;1; 12,5 ; 12,9 ; 24,5 ; 27,7 ;;; 9,6 ; 12,7 ;;;;;;;; 0,1 ;44,9  
1830;Bezirk Prättigau-Davos;GR;1; 17,3 ; 4,3 ; 14,0 ; 36,2 ;;; 9,9 ; 17,4 ;;;;;;;; 1,0 ;46,6  
1831;Bezirk Surselva;GR;1; 6,3 ; 49,8 ; 8,9 ; 21,5 ;;; 4,2 ; 9,3 ;;;;;;;; 0,0 ;50,3  
1901;Bezirk Aarau;AG;1; 17,4 ; 5,4 ; 20,5 ; 31,8 ; 4,6 ;; 6,1 ; 4,5 ;; 6,5 ;;; 1,2 ;;; 2,0 ;52,2  
1902;Bezirk Baden;AG;1; 16,1 ; 11,5 ; 16,8 ; 32,1 ; 2,8 ;; 6,2 ; 5,4 ;; 6,6 ;;; 0,7 ;;; 1,9 ;50,2  
1903;Bezirk Bremgarten;AG;1; 15,1 ; 10,8 ; 14,3 ; 40,8 ; 2,0 ;; 5,1 ; 5,3 ;; 4,4 ;;; 0,7 ;;; 1,7 ;49,1  
1904;Bezirk Brugg;AG;1; 15,7 ; 6,3 ; 16,6 ; 36,6 ; 4,4 ;; 4,9 ; 5,7 ;; 6,5 ;;; 1,2 ;;; 2,1 ;51,4  
1905;Bezirk Kulm;AG;1; 17,3 ; 3,0 ; 12,0 ; 47,3 ; 4,5 ;; 3,1 ; 4,4 ;; 4,0 ;;; 2,6 ;;; 1,8 ;46,9  
1906;Bezirk Laufenburg;AG;1; 11,3 ; 13,7 ; 13,9 ; 40,7 ; 1,9 ;; 4,1 ; 5,5 ;; 5,6 ;;; 0,8 ;;; 2,4 ;48,3  
1907;Bezirk Lenzburg;AG;1; 16,3 ; 4,7 ; 15,9 ; 40,3 ; 3,8 ;; 5,5 ; 5,5 ;; 5,1 ;;; 1,1 ;;; 1,8 ;50,3  
1908;Bezirk Muri;AG;1; 11,5 ; 16,3 ; 10,6 ; 44,1 ; 1,6 ;; 4,4 ; 4,8 ;; 4,3 ;;; 0,6 ;;; 1,8 ;48,1  
1909;Bezirk Rheinfelden;AG;1; 13,6 ; 8,9 ; 18,9 ; 36,7 ; 1,7 ;; 5,4 ; 5,9 ;; 5,3 ;;; 1,0 ;;; 2,5 ;40,9  
1910;Bezirk Zofingen;AG;1; 13,6 ; 3,8 ; 16,8 ; 41,2 ; 5,9 ;; 4,8 ; 5,1 ;; 4,3 ;;; 2,3 ;;; 2,3 ;45,3  
1911;Bezirk Zurzach;AG;1; 13,0 ; 12,7 ; 12,7 ; 46,5 ; 1,6 ;; 3,3 ; 4,1 ;; 3,8 ;;; 0,7 ;;; 1,3 ;50,3  
9190;AG-Ausland-CH;AG;1; 16,5 ; 6,6 ; 20,4 ; 27,3 ; 2,7 ;; 7,0 ; 3,3 ;; 12,0 ;;; 1,8 ;;; 2,4 ;20,8  
2011;Bezirk Arbon;TG;1; 15,2 ; 11,7 ; 14,2 ; 38,3 ; 2,4 ;; 4,8 ; 3,4 ;; 5,8 ;;; 3,9 ;;; 0,2 ;43,9  
2012;Bezirk Frauenfeld;TG;1; 12,5 ; 11,4 ; 15,2 ; 39,5 ; 2,6 ;; 6,9 ; 4,0 ;; 5,3 ;;; 2,4 ;;; 0,2 ;48,3  
2013;Bezirk Kreuzlingen;TG;1; 15,8 ; 12,7 ; 14,0 ; 35,8 ; 1,5 ;; 8,2 ; 3,6 ;; 6,2 ;;; 2,1 ;;; 0,1 ;47,8  
2014;Bezirk Münchwilen;TG;1; 11,2 ; 17,8 ; 9,0 ; 42,9 ; 2,1 ;; 5,4 ; 3,5 ;; 5,3 ;;; 2,6 ;;; 0,1 ;47,0  
2015;Bezirk Weinfelden;TG;1; 11,2 ; 13,1 ; 10,2 ; 42,4 ; 2,8 ;; 5,7 ; 4,2 ;; 4,5 ;;; 5,8 ;;; 0,2 ;47,5  
9200;TG-Ausland-CH;TG;1; 15,9 ; 7,5 ; 17,9 ; 26,1 ; 2,1 ;; 6,8 ; 3,8 ;; 13,1 ;;; 6,3 ;;; 0,6 ;28,5  
2101;Distretto di Bellinzona;TI;1; 29,5 ; 19,5 ; 18,5 ; 8,5 ;;; 0,7 ;; 0,5 ; 3,4 ;;;; 16,9 ;; 2,3 ;61,5  
2102;Distretto di Blenio;TI;1; 22,9 ; 23,1 ; 15,3 ; 10,3 ;;; 0,5 ;; 0,2 ; 2,6 ;;;; 22,0 ;; 2,9 ;50,1  
2103;Distretto di Leventina;TI;1; 23,6 ; 30,8 ; 13,6 ; 8,7 ;;; 0,3 ;; 0,2 ; 1,7 ;;;; 18,8 ;; 2,4 ;60,5  
2104;Distretto di Locarno;TI;1; 24,4 ; 19,1 ; 17,1 ; 14,2 ;;; 1,1 ;; 0,8 ; 3,4 ;;;; 17,0 ;; 2,8 ;49,6  
2105;Distretto di Lugano;TI;1; 22,5 ; 17,6 ; 15,3 ; 12,6 ;;; 1,0 ;; 0,4 ; 3,8 ;;;; 24,5 ;; 2,3 ;52,4  
2106;Distretto di Mendrisio;TI;1; 20,9 ; 23,6 ; 14,2 ; 8,9 ;;; 0,6 ;; 0,5 ; 4,0 ;;;; 25,5 ;; 1,8 ;57,4  
2107;Distretto di Riviera;TI;1; 22,7 ; 23,1 ; 16,8 ; 9,3 ;;; 0,6 ;; 0,9 ; 2,0 ;;;; 21,9 ;; 2,8 ;59,7  
2108;Distretto di Vallemaggia;TI;1; 22,5 ; 28,1 ; 14,0 ; 9,7 ;;; 0,7 ;; 0,6 ; 2,8 ;;;; 16,7 ;; 5,0 ;53,3  
2221;District d'Aigle;VD;1; 31,1 ; 3,7 ; 19,0 ; 26,1 ; 0,9 ;; 2,7 ; 1,5 ;; 8,9 ; 2,5 ; 0,1 ; 0,9 ;;; 2,6 ;44,2  
2222;District de la Broye-Vully;VD;1; 30,0 ; 2,6 ; 18,3 ; 29,6 ; 0,8 ;; 2,7 ; 2,8 ;; 7,5 ; 1,6 ; 0,1 ; 1,4 ;;; 2,7 ;42,4  
2223;District du Gros-de-Vaud;VD;1; 25,3 ; 5,2 ; 18,1 ; 29,2 ; 1,0 ;; 4,3 ; 2,3 ;; 9,8 ; 1,6 ; 0,1 ; 0,6 ;;; 2,6 ;45,0  
2224;District du Jura-Nord vaudois;VD;1; 22,6 ; 2,6 ; 23,2 ; 27,8 ; 1,4 ;; 3,1 ; 2,2 ;; 10,4 ; 2,0 ; 0,1 ; 1,4 ;;; 3,2 ;43,2  
2225;District de Lausanne;VD;1; 20,9 ; 3,7 ; 29,2 ; 16,2 ; 0,9 ;; 3,6 ; 1,1 ;; 15,0 ; 6,0 ; 0,1 ; 0,4 ;;; 2,6 ;41,9  
2226;District de Lavaux-Oron;VD;1; 34,3 ; 3,8 ; 19,9 ; 18,7 ; 0,8 ;; 4,2 ; 1,5 ;; 11,7 ; 2,2 ; 0,1 ; 0,5 ;;; 2,4 ;49,1  
2227;District de Morges;VD;1; 29,2 ; 3,7 ; 21,2 ; 22,1 ; 1,1 ;; 4,8 ; 2,1 ;; 10,7 ; 1,8 ; 0,1 ; 0,7 ;;; 2,5 ;46,4  
2228;District de Nyon;VD;1; 29,7 ; 6,2 ; 17,2 ; 23,6 ; 1,3 ;; 5,2 ; 2,3 ;; 9,6 ; 1,7 ; 0,1 ; 0,5 ;;; 2,7 ;43,0  
2229;District de l'Ouest lausannois;VD;1; 23,2 ; 4,2 ; 26,9 ; 21,4 ; 1,1 ;; 3,3 ; 1,3 ;; 11,2 ; 4,1 ; 0,2 ; 0,6 ;;; 2,6 ;39,0  
2230;District de la Riviera-Pays-d'Enhaut;VD;1; 31,0 ; 4,2 ; 21,6 ; 20,7 ; 0,9 ;; 3,8 ; 1,6 ;; 11,0 ; 2,3 ; 0,1 ; 0,6 ;;; 2,2 ;43,8  
9220;VD-CH de l'étranger;VD;1; 17,7 ; 6,7 ; 20,1 ; 23,3 ; 2,6 ;; 4,5 ; 1,5 ;; 15,5 ; 3,8 ; 0,4 ; 0,8 ;;; 3,2 ;24,4  
2301;Bezirk Brig;VS;1; 3,0 ; 48,6 ; 9,9 ; 35,2 ;; 0,1 ;;;; 3,2 ;;;;;; 0,1 ;65,4  
2302;District de Conthey;VS;1; 27,8 ; 33,2 ; 13,9 ; 18,2 ;; 1,3 ;;;; 5,3 ;;;;;; 0,4 ;58,9  
2303;District d'Entremont;VS;1; 25,4 ; 44,9 ; 9,2 ; 13,5 ;; 2,3 ;;;; 4,2 ;;;;;; 0,4 ;55,7  
2304;Bezirk Goms;VS;1; 3,6 ; 53,8 ; 8,6 ; 29,5 ;; 0,1 ;;;; 4,3 ;;;;;; 0,1 ;60,6  
2305;District d'Hérens;VS;1; 17,1 ; 38,8 ; 17,1 ; 20,3 ;; 1,3 ;;;; 5,0 ;;;;;; 0,4 ;68,0  
2306;Bezirk Leuk;VS;1; 2,6 ; 67,3 ; 7,7 ; 20,3 ;; 0,1 ;;;; 1,8 ;;;;;; 0,1 ;78,1  
2307;District de Martigny;VS;1; 32,4 ; 25,9 ; 14,2 ; 19,4 ;; 1,8 ;;;; 5,4 ;;;;;; 1,0 ;56,6  
2308;District de Monthey;VS;1; 27,6 ; 28,0 ; 13,1 ; 24,4 ;; 2,1 ;;;; 4,4 ;;;;;; 0,3 ;50,0  
2309;Bezirk Raron;VS;1; 2,4 ; 65,8 ; 6,4 ; 22,6 ;; 0,1 ;;;; 2,6 ;;;;;; 0,1 ;72,6  
2310;District de Saint-Maurice;VS;1; 26,7 ; 33,0 ; 15,4 ; 17,0 ;; 2,3 ;;;; 4,7 ;;;;;; 0,8 ;57,9  
2311;District de Sierre;VS;1; 22,0 ; 31,9 ; 17,3 ; 19,8 ;; 2,0 ;;;; 6,6 ;;;;;; 0,4 ;60,7  
2312;District de Sion;VS;1; 18,9 ; 32,8 ; 19,0 ; 18,3 ;; 2,4 ;;;; 8,1 ;;;;;; 0,4 ;61,7  
2313;Bezirk Visp;VS;1; 4,4 ; 58,9 ; 7,3 ; 27,6 ;; 0,1 ;;;; 1,6 ;;;;;; 0,0 ;63,8  
9230;VS-CH de l'étranger;VS;1; 17,2 ; 25,8 ; 16,2 ; 25,0 ;; 2,0 ;;;; 13,6 ;;;;;; 0,2 ;21,9  
2401;District de Boudry;NE;1; 31,3 ; 3,4 ; 23,9 ; 19,1 ;;; 4,0 ; 1,3 ; 6,3 ; 9,0 ;;;;;; 1,7 ;44,0  
2402;District de la Chaux-de-Fonds;NE;1; 13,0 ; 2,5 ; 22,1 ; 21,9 ;;; 2,0 ; 0,4 ; 23,4 ; 11,9 ;;;;;; 2,9 ;39,2  
2403;District du Locle;NE;1; 20,6 ; 2,6 ; 18,2 ; 22,4 ;;; 1,6 ; 0,3 ; 25,1 ; 7,1 ;;;;;; 2,2 ;43,7  
2404;District de Neuchâtel;NE;1; 27,3 ; 4,3 ; 26,8 ; 16,0 ;;; 4,7 ; 1,0 ; 8,2 ; 9,8 ;;;;;; 1,9 ;42,6  
2405;District du Val-de-Ruz;NE;1; 27,2 ; 4,2 ; 22,2 ; 23,2 ;;; 2,6 ; 1,9 ; 8,2 ; 8,4 ;;;;;; 2,1 ;43,5  
2406;District du Val-de-Travers;NE;1; 20,9 ; 4,2 ; 23,2 ; 33,4 ;;; 3,0 ; 0,7 ; 7,5 ; 5,3 ;;;;;; 1,9 ;35,1  
2500;Canton de Genève;GE;1; 20,7 ; 12,1 ; 19,7 ; 17,7 ; 0,6 ;; 2,2 ; 1,0 ;; 11,1 ; 6,1 ;; 0,2 ;; 8,2 ; 0,3 ;44,1  
9250;GE-CH de l'étranger;GE;1; 18,2 ; 10,7 ; 23,0 ; 16,8 ; 0,8 ;; 2,7 ; 1,1 ;; 16,8 ; 6,0 ;; 0,3 ;; 3,1 ; 0,4 ;31,4  
2601;District de Delémont;JU;1; 13,0 ; 20,8 ; 26,7 ; 15,9 ;; 8,3 ;;; 5,5 ; 8,2 ;;;;;; 1,7 ;51,4  
2602;District des Franches-Montagnes;JU;1; 21,2 ; 22,3 ; 22,0 ; 12,0 ;; 6,9 ;;; 4,7 ; 8,6 ;;;;;; 2,3 ;51,8  
2603;District de Porrentruy;JU;1; 19,6 ; 37,7 ; 20,8 ; 9,6 ;; 4,5 ;;; 1,4 ; 5,7 ;;;;;; 0,6 ;59,2  
